id,text,source
1091417236475179008,Thank you to Senator Rob Portman and Senator Cory Gardner for the early and warm endorsement. We will ALL WIN in 2020 together!,Twitter for iPhone
1091406863361605633,Great news on Foxconn in Wisconsin after my conversation with Terry Gou! https://t.co/2wtuCdl7TX,Twitter for iPhone
1091362563202396165,"JOBS, JOBS, JOBS! https://t.co/29dViqkEV7",Twitter for iPhone
1091339521931857926,"Best January for the DOW in over 30 years. We have, by far, the strongest economy in the world!",Twitter for iPhone
1091329137699184640,....after 18 long years. Syria was loaded with ISIS until I came along. We will soon have destroyed 100% of the Cal… https://t.co/7b38WdCDHK,Twitter for iPhone
1091326078323486722,"I inherited a total mess in Syria and Afghanistan, the “Endless Wars” of unlimited spending and death. During my ca… https://t.co/Qxw9UBJYLB",Twitter for iPhone
1091191087702724609,This Witch Hunt must end! https://t.co/3og7H4uUw2,Twitter for iPhone
1091173536163602432,"Nellie Ohr, the wife of DOJ official Bruce Ohr, was long ago investigating for pay (GPS Fusion) members of my famil… https://t.co/XEjol3GaIf",Twitter for iPhone
1091170257216159745,"Just out: The big deal, very mysterious Don jr telephone calls, after the innocent Trump Tower meeting, that the me… https://t.co/gImtUwIBh3",Twitter for iPhone
1091127643720859649,"Our great U.S. Border Patrol Agents made the biggest Fentanyl bust in our Country’s history. Thanks, as always, for a job well done!",Twitter for iPhone
1091088740947320833,Just concluded a great meeting with my Intel team in the Oval Office who told me that what they said on Tuesday at… https://t.co/5TOGeWqtmX,Twitter for iPhone
1091053331118784516,https://t.co/6wK5He4pk5,Twitter for iPhone
1091029180521897984,"Very sadly, Murder cases in Mexico in 2018 rose 33% from 2017, to 33,341. This is a big contributor to the Humanita… https://t.co/sBupmu0RsT",Twitter for iPhone
1090990097049313281,Schumer and the Democrats are big fans of being weak and passive with Iran. They have no clue as to the danger they… https://t.co/kZs7Z307yv,Twitter for iPhone
1090987128480301056,"Looking for China to open their Markets not only to Financial Services, which they are now doing, but also to our M… https://t.co/KZJaZVPYML",Twitter for iPhone
1090986128805687296,"More troops being sent to the Southern Border to stop the attempted Invasion of Illegals, through large Caravans, i… https://t.co/IouO71eEQ4",Twitter for iPhone
1090967053689937921,"Democrats are becoming the Party of late term abortion, high taxes, Open Borders and Crime!",Twitter for iPhone
1090963161942032385,"Republicans on the Homeland Security Committee are wasting their time. Democrats, despite all of the evidence, proo… https://t.co/npj2u8TqPZ",Twitter for iPhone
